,slope,intercept,r-value
PCLN,0.5874949984883112,856.4453087644858,0.7543193092335264
HBANP,0.4204151464576557,1001.4273068314653,0.9701016946054988
REGN,0.4086034417855537,186.5595097087881,0.8904105721980796
AMZN,0.39444171937021877,218.23563446271027,0.8407439456337822
GOOGL,0.3841466362311065,396.0667109861227,0.887776116030214
GOOG,0.35233133146116974,400.30966328696036,0.8717156968943343
UHAL,0.30501823352812785,135.56848878985258,0.9593133991993172
ATRI,0.2499060151136092,197.00263684088884,0.9656227463368596
IBB,0.22666774605302786,165.4341304264197,0.8391036330458674
ORLY,0.22154707942284896,79.93332017699493,0.9776580574073438
