Ticker,EPS,Dividends,Book_value
1COV,2.21,nan,17.75
AIR,2.92,1.20,10.14
AOX,-0.93,0.50,10.64
ARL,6.18,1.20,47.41
BNR,2.20,0.90,17.19
BOSS,4.09,3.62,14.21
DEQ,5.41,1.30,33.16
DUE,5.29,1.65,20.90
DWNI,4.04,0.44,19.98
EVD,0.93,0.40,3.44
EVK,2.10,1.00,16.20
FIE,1.89,1.60,7.95
FPE3,1.70,0.77,8.02
FRA,2.99,1.35,37.24
G1A,1.85,0.70,14.58
GBF,-12.39,2.00,29.91
GIL,1.89,0.55,15.58
GXI,3.49,0.75,19.61
HLE,2.31,nan,16.97
HNR1,9.54,3.00,66.90
HOT,3.33,1.90,28.47
JUN3,4.02,1.04,30.18
KGX,2.11,0.55,18.25
KRN,5.10,1.25,35.17
KU2,2.49,0.40,19.52
LEG,3.95,nan,46.92
LEO,2.20,1.20,29.74
LXS,1.80,0.50,25.24
MEO,3.51,1.00,16.16
MTX,5.61,1.45,27.41
NDA,0.70,1.35,42.56
NOEJ,2.36,0.75,13.69
OSR,1.04,0.90,23.52
PBB,1.71,nan,20.42
RHK,1.46,0.80,16.99
RHM,3.88,0.30,35.09
RRTL,5.35,2.50,19.91
SAX,1.25,0.40,11.71
SAZ,1.91,0.66,15.14
SDF,2.78,0.90,23.36
SNH,0.33,nan,3.20
SPR,4.16,1.80,20.02
SY1,1.90,0.75,12.08
SZG,-1.47,0.20,51.16
SZU,0.53,0.25,18.67
TEG,1.04,0.50,8.88
TLX,2.79,1.25,33.75
WCH,4.97,1.50,51.70
WIN,1.31,nan,21.61
ZAL,0.26,nan,4.72
