,Unnamed: 0,2006-12,2007-12,2008-12,2009-12,2010-12,2011-12,2012-12,2013-12,2014-12,2015-12,TTM
0,Revenue USD Mil,,,,,"1,974","3,711","5,089","7,872","12,466","17,928","19,767"
1,Gross Margin %,,,,,75.0,76.8,73.2,76.2,82.7,84.0,84.6
2,Operating Income USD Mil,,,,,"1,032","1,756",538,"2,804","4,994","6,225","7,301"
3,Operating Margin %,,,,,52.3,47.3,10.6,35.6,40.1,34.7,36.9
4,Net Income USD Mil,,,,,606,"1,000",53,"1,500","2,940","3,688","4,686"
5,Earnings Per Share USD,,,,,,0.43,0.01,0.60,1.10,1.29,1.63
6,Dividends USD,,,,,,,,,,,
7,Payout Ratio %,,,,,,,,,,,
8,Shares Mil,,,,,,"2,332","2,166","2,517","2,664","2,853","2,866"
9,Book Value Per Share USD,,,,,,,4.96,5.12,7.65,14.62,16.48
10,Operating Cash Flow USD Mil,,,,,698,"1,549","1,612","4,222","5,457","8,599","9,882"
11,Cap Spending USD Mil,,,,,-293,-606,"-1,235","-1,362","-1,831","-2,523","-3,153"
12,Free Cash Flow USD Mil,,,,,405,943,377,"2,860","3,626","6,076","6,729"
13,Free Cash Flow Per Share USD,,,,,,,0.17,0.99,1.27,1.76,
14,Working Capital USD Mil,,,,,"1,857","3,705","10,215","11,970","12,246","19,727",
